name,price,status,shipping,free_returns,items_sold
EVGA GeForce RTX 3080 FTW3 Ultra Gaming 10GB GDDR6X Graphics Card...,122500,Brand New,0,False,
ASUS TUF GeForce RTX 3080 OC Graphics Card ✅FULL HASHRATE ✅NON-LHR,187500,Pre-Owned,0,False,
ASUS ROG Strix GeForce RTX 3080 Ti OC 12GB GDDR6X Graphics Card,170000,Pre-Owned,0,False,
Unused GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card - White LHR,124900,Brand New,2115,False,
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card #,179999,Pre-Owned,0,False,0
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card ✅Brand New,132402,Brand New,10546,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card,189900,Brand New,2218,False,
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card,220000,Open Box,0,False,
🔥🔥 LHR - GIGABYTE AORUS RTX 3080 XTREME WATERFORCE - Ship ASAP 🔥🔥,155998,Brand New,2924,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA HYBRID GAMING 12GB GDDR6X Graphics Card,182500,Brand New,3500,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,165101,Brand New,5000,False,
NON LHR - ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X ROG-STRIX-RTX3080-10G,182500,Pre-Owned,6015,False,
"New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card NEW, SEALED",157500,Brand New,0,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,145100,Brand New,2115,False,
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card - Titanium/B…,229995,Brand New,0,False,
NVIDIA RTX 3080 Founders Edition Graphics Card - Brand New in Box,209900,Brand New,3000,False,
EVGA RTX 3080 XC3 ULTRA GAMING 10G-P5-3885-KH PCI EXPRESS 4.0 LHR Graphics Card,142500,Brand New,1085,False,
GIGABYTE GeForce RTX 3080 GAMING OC 10G 10GB GDRR6X Graphics Card Rev 1. NON-LHR,157500,Parts Only,1085,False,
GIGABYTE AORUS GeForce RTX 3080 Ti Master 12G GPU,150000,Brand New,0,False,
Gigabyte GeForce RTX 3080 Gaming OC Waterforce WB 10GB GDDR6X LHR Graphics Card,158999,Brand New,0,True,0
Gigabyte AORUS GeForce RTX 3080 Ti XTREME WATERFORCE WB 12G Sealed Box,150000,Brand New,15000,False,
ASUS TUF Gaming GeForce RTX 3080 V2 OC 10GB GDDR6X Graphics Card - Free Shipping,159999,Brand New,0,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GPU 🔥✈️FREE 2 DAY SHIP🔥✈️,194999,Brand New,0,False,0
,,,,False,
Gigabyte AORUS GeForce RTX 3080 Ti XTREME WATERFORCE WB 12G Sealed Box,150000,Brand New,15000,False,
ASUS ROG Strix GeForce RTX 3080 Ti OC Edition 12GB | Gaming Graphics Card [NEW!],225500,Brand New,1472,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition ✅ Brand New ✅  In Hand,162500,Brand New,2000,False,
